channel,row,victim_pattern,aggressor_pattern,activations,act_rate_M,num_flips,total_bit_flips
0,1024,0x7f7f7f7f,0xc3f0a55a,1000000,29.6292,0,0
0,1024,0xc3f0a55a,0x00000000,1000000,29.6291,0,0
0,1024,0xc3f0a55a,0xffffffff,1000000,29.6291,0,0
0,1024,0xc3f0a55a,0x55555555,1000000,29.6291,0,0
0,1024,0xc3f0a55a,0xaaaaaaaa,1000000,29.6291,0,0
0,1024,0xc3f0a55a,0x80808080,1000000,29.6291,0,0
0,1024,0xc3f0a55a,0x7f7f7f7f,1000000,29.6291,0,0
0,1024,0xc3f0a55a,0xc3f0a55a,1000000,29.6291,0,0
0,1025,0x00000000,0x00000000,1000000,29.6291,0,0
0,1025,0x00000000,0xffffffff,1000000,29.6291,0,0
0,1025,0x00000000,0x55555555,1000000,29.6291,0,0
0,1025,0x00000000,0xaaaaaaaa,1000000,29.6292,0,0
0,1025,0x00000000,0x80808080,1000000,29.6292,0,0
0,1025,0x00000000,0x7f7f7f7f,1000000,29.6291,0,0
0,1025,0x00000000,0xc3f0a55a,1000000,29.6291,0,0
0,1025,0xffffffff,0x00000000,1000000,29.6291,0,0
0,1025,0xffffffff,0xffffffff,1000000,29.6291,0,0
0,1025,0xffffffff,0x55555555,1000000,29.6291,0,0
0,1025,0xffffffff,0xaaaaaaaa,1000000,29.6291,0,0
0,1025,0xffffffff,0x80808080,1000000,29.6291,0,0
0,1025,0xffffffff,0x7f7f7f7f,1000000,29.6291,0,0
0,1025,0xffffffff,0xc3f0a55a,1000000,29.6291,0,0
0,1025,0x55555555,0x00000000,1000000,29.6292,0,0
0,1025,0x55555555,0xffffffff,1000000,29.6291,0,0
0,1025,0x55555555,0x55555555,1000000,29.6291,0,0
0,1025,0x55555555,0xaaaaaaaa,1000000,29.6291,0,0
0,1025,0x55555555,0x80808080,1000000,29.6291,0,0
0,1025,0x55555555,0x7f7f7f7f,1000000,29.6291,0,0
0,1025,0x55555555,0xc3f0a55a,1000000,29.6291,0,0
0,1025,0xaaaaaaaa,0x00000000,1000000,29.6291,0,0
0,1025,0xaaaaaaaa,0xffffffff,1000000,29.6291,0,0
0,1025,0xaaaaaaaa,0x55555555,1000000,29.629,0,0
0,1025,0xaaaaaaaa,0xaaaaaaaa,1000000,29.6291,0,0
0,1025,0xaaaaaaaa,0x80808080,1000000,29.6291,0,0
0,1025,0xaaaaaaaa,0x7f7f7f7f,1000000,29.6291,0,0
0,1025,0xaaaaaaaa,0xc3f0a55a,1000000,29.6292,0,0
0,1025,0x80808080,0x00000000,1000000,29.6291,0,0
0,1025,0x80808080,0xffffffff,1000000,29.6291,0,0
0,1025,0x80808080,0x55555555,1000000,29.6291,0,0
0,1025,0x80808080,0xaaaaaaaa,1000000,29.6291,0,0
0,1025,0x80808080,0x80808080,1000000,29.6292,0,0
0,1025,0x80808080,0x7f7f7f7f,1000000,29.6291,0,0
0,1025,0x80808080,0xc3f0a55a,1000000,29.6291,0,0
0,1025,0x7f7f7f7f,0x00000000,1000000,29.6291,0,0
0,1025,0x7f7f7f7f,0xffffffff,1000000,29.6292,0,0
0,1025,0x7f7f7f7f,0x55555555,1000000,29.6291,0,0
0,1025,0x7f7f7f7f,0xaaaaaaaa,1000000,29.6291,0,0
0,1025,0x7f7f7f7f,0x80808080,1000000,29.6291,0,0
0,1025,0x7f7f7f7f,0x7f7f7f7f,1000000,29.6291,0,0
0,1025,0x7f7f7f7f,0xc3f0a55a,1000000,29.6291,0,0
0,1025,0xc3f0a55a,0x00000000,1000000,29.6291,0,0
0,1025,0xc3f0a55a,0xffffffff,1000000,29.6291,0,0
0,1025,0xc3f0a55a,0x55555555,1000000,29.6291,0,0
0,1025,0xc3f0a55a,0xaaaaaaaa,1000000,29.6291,0,0
0,1025,0xc3f0a55a,0x80808080,1000000,29.6292,0,0
0,1025,0xc3f0a55a,0x7f7f7f7f,1000000,29.6291,0,0
0,1025,0xc3f0a55a,0xc3f0a55a,1000000,29.6291,0,0
0,1026,0x00000000,0x00000000,1000000,29.629,0,0
0,1026,0x00000000,0xffffffff,1000000,29.6292,0,0
0,1026,0x00000000,0x55555555,1000000,29.6291,0,0
0,1026,0x00000000,0xaaaaaaaa,1000000,29.6291,0,0
0,1026,0x00000000,0x80808080,1000000,29.6291,0,0
0,1026,0x00000000,0x7f7f7f7f,1000000,29.6291,0,0
0,1026,0x00000000,0xc3f0a55a,1000000,29.6292,0,0
0,1026,0xffffffff,0x00000000,1000000,29.6291,0,0
0,1026,0xffffffff,0xffffffff,1000000,29.6291,0,0
0,1026,0xffffffff,0x55555555,1000000,29.6291,0,0
0,1026,0xffffffff,0xaaaaaaaa,1000000,29.6291,0,0
0,1026,0xffffffff,0x80808080,1000000,29.6291,0,0
0,1026,0xffffffff,0x7f7f7f7f,1000000,29.6291,0,0
0,1026,0xffffffff,0xc3f0a55a,1000000,29.6291,0,0
0,1026,0x55555555,0x00000000,1000000,29.6291,0,0
0,1026,0x55555555,0xffffffff,1000000,29.6291,0,0
0,1026,0x55555555,0x55555555,1000000,29.6291,0,0
0,1026,0x55555555,0xaaaaaaaa,1000000,29.6291,0,0
0,1026,0x55555555,0x80808080,1000000,29.6291,0,0
0,1026,0x55555555,0x7f7f7f7f,1000000,29.6291,0,0
0,1026,0x55555555,0xc3f0a55a,1000000,29.6292,0,0
0,1026,0xaaaaaaaa,0x00000000,1000000,29.6291,0,0
0,1026,0xaaaaaaaa,0xffffffff,1000000,29.6291,0,0
0,1026,0xaaaaaaaa,0x55555555,1000000,29.6291,0,0
0,1026,0xaaaaaaaa,0xaaaaaaaa,1000000,29.6291,0,0
0,1026,0xaaaaaaaa,0x80808080,1000000,29.6291,0,0
0,1026,0xaaaaaaaa,0x7f7f7f7f,1000000,29.6291,0,0
0,1026,0xaaaaaaaa,0xc3f0a55a,1000000,29.6292,0,0
0,1026,0x80808080,0x00000000,1000000,29.6292,0,0
0,1026,0x80808080,0xffffffff,1000000,29.629,0,0
0,1026,0x80808080,0x55555555,1000000,29.6292,0,0
0,1026,0x80808080,0xaaaaaaaa,1000000,29.6291,0,0
0,1026,0x80808080,0x80808080,1000000,29.6292,0,0
0,1026,0x80808080,0x7f7f7f7f,1000000,29.6291,0,0
0,1026,0x80808080,0xc3f0a55a,1000000,29.6292,0,0
0,1026,0x7f7f7f7f,0x00000000,1000000,29.6292,0,0
0,1026,0x7f7f7f7f,0xffffffff,1000000,29.6292,0,0
0,1026,0x7f7f7f7f,0x55555555,1000000,29.6292,0,0
0,1026,0x7f7f7f7f,0xaaaaaaaa,1000000,29.6291,0,0
0,1026,0x7f7f7f7f,0x80808080,1000000,29.6291,0,0
0,1026,0x7f7f7f7f,0x7f7f7f7f,1000000,29.6291,0,0
0,1026,0x7f7f7f7f,0xc3f0a55a,1000000,29.6291,0,0
0,1026,0xc3f0a55a,0x00000000,1000000,29.6291,0,0
0,1026,0xc3f0a55a,0xffffffff,1000000,29.6291,0,0
0,1026,0xc3f0a55a,0x55555555,1000000,29.6291,0,0
0,1026,0xc3f0a55a,0xaaaaaaaa,1000000,29.6291,0,0
0,1026,0xc3f0a55a,0x80808080,1000000,29.6291,0,0
0,1026,0xc3f0a55a,0x7f7f7f7f,1000000,29.6291,0,0
0,1026,0xc3f0a55a,0xc3f0a55a,1000000,29.6291,0,0
0,1027,0x00000000,0x00000000,1000000,29.6291,0,0
0,1027,0x00000000,0xffffffff,1000000,29.6291,0,0
0,1027,0x00000000,0x55555555,1000000,29.6292,0,0
0,1027,0x00000000,0xaaaaaaaa,1000000,29.6291,0,0
0,1027,0x00000000,0x80808080,1000000,29.6292,0,0
0,1027,0x00000000,0x7f7f7f7f,1000000,29.6291,0,0
0,1027,0x00000000,0xc3f0a55a,1000000,29.6291,0,0
0,1027,0xffffffff,0x00000000,1000000,29.6291,0,0
0,1027,0xffffffff,0xffffffff,1000000,29.6292,0,0
0,1027,0xffffffff,0x55555555,1000000,29.6291,0,0
0,1027,0xffffffff,0xaaaaaaaa,1000000,29.6291,0,0
0,1027,0xffffffff,0x80808080,1000000,29.629,0,0
0,1027,0xffffffff,0x7f7f7f7f,1000000,29.6291,0,0
0,1027,0xffffffff,0xc3f0a55a,1000000,29.629,0,0
0,1027,0x55555555,0x00000000,1000000,29.6291,0,0
0,1027,0x55555555,0xffffffff,1000000,29.6292,0,0
0,1027,0x55555555,0x55555555,1000000,29.6291,0,0
0,1027,0x55555555,0xaaaaaaaa,1000000,29.6291,0,0
0,1027,0x55555555,0x80808080,1000000,29.6291,0,0
0,1027,0x55555555,0x7f7f7f7f,1000000,29.6291,0,0
0,1027,0x55555555,0xc3f0a55a,1000000,29.6291,0,0
0,1027,0xaaaaaaaa,0x00000000,1000000,29.6291,0,0
0,1027,0xaaaaaaaa,0xffffffff,1000000,29.6292,0,0
0,1027,0xaaaaaaaa,0x55555555,1000000,29.6291,0,0
0,1027,0xaaaaaaaa,0xaaaaaaaa,1000000,29.6291,0,0
0,1027,0xaaaaaaaa,0x80808080,1000000,29.6291,0,0
0,1027,0xaaaaaaaa,0x7f7f7f7f,1000000,29.6292,0,0
0,1027,0xaaaaaaaa,0xc3f0a55a,1000000,29.6291,0,0
0,1027,0x80808080,0x00000000,1000000,29.6292,0,0
0,1027,0x80808080,0xffffffff,1000000,29.6291,0,0
0,1027,0x80808080,0x55555555,1000000,29.6291,0,0
0,1027,0x80808080,0xaaaaaaaa,1000000,29.6291,0,0
0,1027,0x80808080,0x80808080,1000000,29.6291,0,0
0,1027,0x80808080,0x7f7f7f7f,1000000,29.6291,0,0
0,1027,0x80808080,0xc3f0a55a,1000000,29.6292,0,0
0,1027,0x7f7f7f7f,0x00000000,1000000,29.6291,0,0
0,1027,0x7f7f7f7f,0xffffffff,1000000,29.629,0,0
0,1027,0x7f7f7f7f,0x55555555,1000000,29.6291,0,0
0,1027,0x7f7f7f7f,0xaaaaaaaa,1000000,29.6291,0,0
0,1027,0x7f7f7f7f,0x80808080,1000000,29.6291,0,0
0,1027,0x7f7f7f7f,0x7f7f7f7f,1000000,29.6291,0,0
0,1027,0x7f7f7f7f,0xc3f0a55a,1000000,29.6292,0,0
0,1027,0xc3f0a55a,0x00000000,1000000,29.6291,0,0
0,1027,0xc3f0a55a,0xffffffff,1000000,29.6291,0,0
0,1027,0xc3f0a55a,0x55555555,1000000,29.6291,0,0
0,1027,0xc3f0a55a,0xaaaaaaaa,1000000,29.6291,0,0
0,1027,0xc3f0a55a,0x80808080,1000000,29.6291,0,0
0,1027,0xc3f0a55a,0x7f7f7f7f,1000000,29.6291,0,0
0,1027,0xc3f0a55a,0xc3f0a55a,1000000,29.6291,0,0
